Jetz.tree.names	Lumped	nSamples	Locus	Seq Model	Ngroups0.9	Ngroups0.8	Ngroups0.7	Ngroups.excluded0.9	Ngroups.excluded0.8	Ngroups.excluded0.7	stem.age	stem.95.lo	stem.95.hi	crown.age	crown.95.lo	crown.95.hi	Ngroups0.8_w0.2removed	crown.age_0.2removed	Ngroups0.8_w0.4removed	crown.age_0.4removed	range.size	prop.range.sampled	lat.mid	migratory.distance	elevation	bio1	bio2	bio3	bio4	bio5	bio6	bio7	bio8	bio9	bio10	bio11	bio12	bio13	bio14	bio15	bio16	bio17	bio18	bio19	CS_bio_01	CS_bio_02	CS_bio_03	CS_bio_04	CS_bio_05	CS_bio_06	CS_bio_07	CS_bio_08	CS_bio_09	CS_bio_10	CS_bio_11	CS_bio_12	CS_bio_13	CS_bio_14	CS_bio_15	CS_bio_16	CS_bio_17	CS_bio_18	CS_bio_19	PC1	PC2	PC1_var	PC2_var	MeanHandWingIndex	MeanTarsusLength	Dichromatism_presence	nSubspecies	Tarsus_var	Kipps_var	Published
Adelomyia_melanogenys	Adelomyia-melanogenys	112	CR-ATP8&6	GTR+G	7	8	8	1	1	1	8.492348325	3.6656	14.409	4.638754872	2.783	6.5517	9	4.638754872	9	4.638754872	658858.67	0.8	-6.1	0	2118	16.7	11.8	84	0.447	23.7	9.4	13.8	16.9	16.1	17.1	15.9	1298	195	33	51	526	137	389	163	20	10	1	9	15	24	144	20	19	20	19	130	20	5	1	54	15	46	16	-1.721573257	-0.173318709	2.283457819	2.99885466	59.35880702	5.176	m	9	0.09228	2.635263483	y
Agelaius_phoeniceus	Agelaius-phoeniceus-tricolor	41	ND2	GTR+I	2	2	2	0	0	1	4.049959371	2.4114	5.8002	3.034691284	1.7325	4.4301	2	3.034691284	2	3.034691284	13858914.08	0.392	38.605	1658.029518	249	9.1	12.1	32	8.898	28.4	-9.1	37.2	17	-1.6	20.5	-2.9	857.5	101	33	30	286	127	256	188	204	52.5	9	17	190	65711	388.5	207	65712	204	65727	326.5	43	14	0	120	47	93	67	2.244311016	0.958105511	1.626341128	2.893008199	23.04009459	26.212	d	26	8.493595556	14.39446504	y
Amazilia_tzacatl	Amazilia-tzacatl	102	ND2	GTR+I	1	1	2	0	0	0	2.658750339	1.2091	4.3208	0.902387635	0.497	1.4293	1	0.902387635	3	0.902387635	1046659.36	0.577	7.865	0	452	24.2	9.6	76	0.6875	30.55	17.6	12.5	24.2	24.15	25.5	22.7	2540	393.5	47	55	1060.5	177	500.5	507.5	15	5	1	11	13	18	127.5	15	15	15	15	372.5	53	8	0	142.5	34	68	90	-4.703576758	0.145040642	2.393506377	3.312914968	62.56534992	4.758	d	5	0.25907	3.239030909	y
Amazona_farinosa	Amazona-farinosa	15	Cyt b	GTR+G	2	2	3	0	0	0	3.029355839	2.1038	4.7351	2.099052818	1.3371	3.4893	2	2.099052818	2	2.099052818	7197222.27	0.808	-2.965	0	167	25.5	9.6	76	0.738	31.9	19.3	12.3	25.8	25.4	26.6	24.2	2691	389	71	50	1039	248	627	541	18	12	2	11	13	30	130.5	20	18	17	18	368	45	12	0	125	47	76	92	-5.565228777	0.656431567	2.142967462	3.889639955	28.25682	21.152	m	3	2.63392	2.477096797	y
Amazona_ochrocephala	Amazona-ochrocephala-aestiva	58	ND2	GTR+I	6	7	8	1	1	1	3.505325924	2.4046	4.627	1.055560932	0.7089	1.4479	6	1.055560932	4	1.055560932	10886924.6	0.657	-11.185	0	193	25.4	10.6	74	0.824	32.3	17.6	14	26.1	24	26.5	23.8	1792	282	31	54	762	126	465	277	25	12	2	11	18	33	142	25	25	25	25	195	29	3	0	80	10	49	22	-4.270778737	-1.235228387	3.189707388	3.870902697	28.00917508	19.816	m	6	10.58782667	16.94318552	y
Anabacerthia_striaticollis	Anabacerthia-striaticollis	40	ND2	HKY+G	3	4	4	0	0	0	3.061034766	1.5381	4.7333	1.114606242	0.5476	1.8153	3	1.114606242	3	1.114606242	336607.95	0.963	-2.925	0	1722.5	18.8	10.55	82	0.4965	25.4	12.1	12.6	18.8	18.1	19.5	17.5	1847.5	258.5	56.5	40	699.5	205	467	236.5	20	9.5	1	13.5	17	28	133.25	20	20	20	19	295	37	6	0	107.5	23.5	78.5	33.5	-2.829904954	0.614848377	3.355084179	5.430324855	16.95458051	20.124	m	6	0.26003	2.364850805	y
Anas_fulvigula	Anas-fulvigula	219	CR	K2P+I	2	2	3	0	0	0	1.14387849	0.5277	1.9636	0.78486823	0.442	1.2492	2	0.78486823	2	0.78486823	198023.84	0.505	24.73	1220.122883	11	22.4	11.2	47	4.4905	32.9	9.5	23.6	27.3	17.6	27.5	16.1	1280	190	45	49.5	534.5	171	522	189	65	64	12	13	31	90	268.75	64.5	64	64.5	64	113	18	4	0	48	14	41	15	-1.967660658	-0.74806538	0.74550984	0.724481772	46.25994983	49.774	m	2	7.70218	3.317238358	y
Anas_strepera	Anas-strepera	457	CR	HKY+I+G	2	2	2	0	0	0	2.37	0.5	5.3	2.365653417	0.4959	5.2827	2	2.365653417	2	2.365653417	4461184.94	0.949	37.725	1589.505178	613.5	6.6	13.3	34	8.7665	27.5	-11.5	39.8	13.75	-0.3	18.1	-4.6	436	77	13	52	202	47	142	89	114	54	9	16.5	74	65677	404.5	170	65525.5	114	65635	233	38	6	1	102	21	43.5	37	3.216310486	-0.00979721	2.014360569	1.869391678	52.1503818	41.75	d	2	24.37215	1.066663798	y
Aphelocoma_californica	Aphelocoma-caerulescens-californica-insularis	37	ND2	HKY+G	3	4	4	0	0	0	5.235774169	2.3903	8.1175	3.544823428	1.8332	5.2612	3	3.544823428	3	1.581510943	2394183.31	0.563	31.845	0	87	15.6	13.1	48	5.011	32.2	3.1	26.2	11.4	18.2	22.9	9.3	656	127	8	68	336	34	58	217	39	18	3	14	32	67	283	39	39	39	39	161	29	1	1	78	8	14	61	0.387135551	-1.37575763	2.418187833	0.925404173	14.01325093	40.41755556	m	17	15.10915	3.321510168	y
Aphelocoma_wollweberi	Aphelocoma-ultramarina-wollweberi	25	ND2	HKY+G	3	4	4	0	0	0	6.382549278	3.9078	9.0859	5.384789086	3.3457	7.4914	3	5.384789086	3	5.384789086	573279.92	0.268	23.81	0	1693	14.9	15.9	49	6.28	31.3	-0.4	32.7	21.3	16.7	22.2	7.5	508	114	7	75	262	33	221	92	88	55	7	15	59	65650	356	88	88	88	88	42	9	1	1	21	3	18	7	0.898674988	-2.29165573	0.690546845	0.481478509	17.68793771	40.826	m	5	4.677826667	15.36486372	y
