Split	Ngroups0.8total	crown.age
Adelomyia-melanogenys	9	4.638754872
Agelaius-phoeniceus	1	0.966512384
Agelaius-tricolor	1	0.138662871
Amazilia-tzacatl	1	0.902387635
Amazona-aestiva	2	0.492368542
Amazona-farinosa	2	2.099052818
Amazona-ochrocephala	8	1.055560932
Anabacerthia-striaticollis	4	1.114606242
Anas-fulvigula	2	0.78486823
Anas-strepera	2	2.365653417
Aphelocoma-californica	2	1.581510943
Aphelocoma-unicolor	4	3.32546708
Aphelocoma-wollweberi	3	2.348294454
Arremon-assimilis	3	3.335144399
Arremon-atricapillus	1	0.901481781
Arremon-brunneinucha	13	3.996291474
Arremon-torquatus	2	1.399113342
Artemisiospiza-belli	7	1.350886879
Artemisiospiza-nevadensis	2	0.28414773
Attila-spadiceus	3	1.17720885
Aulacorhynchus-prasinus	7	2.593855402
Automolus-ochrolaemus	6	2.859383231
Basileuterus-belli	7	2.140040976
Basileuterus-culicivorus	10	4.881084149
Basileuterus-trifasciatus	1	0.374011861
Basileuterus-tristriatus	11	2.697598438
Calidris-ptilocnemis	4	0.261873291
Campylorhynchus-brunneicapillus	2	2.383838627
Campylorhynchus-rufinucha	5	2.434280966
Cantorchilus-nigricapillus	3	2.076504765
Capito-wallacei	2	0.509852087
Cardellina-pusilla	2	2.946267872
Cardellina-rubra	2	0.396954909
Cardinalis-cardinalis	5	2.745537101
Catharus-fuscater	9	3.924684322
Catharus-occidentalis	1	0.315321379
Ceratopipra-erythrocephala	1	0.316860253
Ceratopipra-mentalis	1	0.265190977
Certhia-americana	3	4.393037845
Chamaea-fasciata	1	0.432878056
Charadrius-montanus	5	1.766010022
Charadrius-nivosus	1	1.81530733
Chlorophanes-spiza	1	0.589621545
Chlorospingus-flavopectus	12	5.175753753
Chrysomus-icterocephalus	1	0.296913253
Cinclodes-fuscus	2	0.223493669
Colonia-colonus	4	4.706078926
Corvus-corax	5	2.883111408
Cranioleuca-antisiensis	2	0.277217489
Cranioleuca-baroni	3	0.277217489
Cyanerpes-caeruleus	2	1.473351184
Cyanocitta-stelleri	4	3.061356038
Cyanocompsa-cyanoides	3	5.207775465
Cyanolyca-armillata	2	2.135001459
Cyclarhis-gujanensis	4	6.453591034
Cymbilaimus-lineatus	2	1.395115976
Dendragapus-obscurus	1	0.610944909
Dendrocincla-fuliginosa	6	3.097877195
Dendrocolaptes-platyrostris	4	0.391471397
Diglossa-caerulescens	3	0.72365962
Diglossa-cyanea	2	2.37454149
Drymophila-devillei	2	1.36135624
Drymophila-striaticeps	2	1.625704195
Dubusia-taeniata	4	2.217946237
Empidonax-difficilis	1	0.605445328
Empidonax-flavescens	3	1.710883648
Empidonax-occidentalis	2	1.529021698
Empidonax-traillii	2	2.288159719
Forpus-passerinus	1	0.364028091
Forpus-xanthopterygius	3	2.716910139
Geothlypis-beldingi	1	0.183680246
Geothlypis-nelsoni	1	0.468610034
Geothlypis-tolmiei	3	0.358275849
Geothlypis-trichas	2	1.128674342
Glyphorynchus-spirurus	12	4.21793954
Habia-fuscicauda	2	1.687802502
Habia-rubica	6	7.047229807
Hellmayrea-gularis	5	2.373216507
Henicorhina-leucoptera	1	1.625483347
Henicorhina-leucosticta	6	5.407941856
Hirundo-rustica	3	1.081590518
Hylophilus-ochraceiceps	4	6.460156606
Hylophylax-naevius	5	3.943050999
Hypocnemis-cantator	2	0.772649144
Icterus-abeillei	1	0.188251728
Icterus-galbula	1	0.239468461
Icterus-pustulatus	13	0.494873113
Lampornis-amethystinus	3	1.884966601
Lepidocolaptes-affinis	2	0.780820213
Lepidocolaptes-lacrymiger	5	0.9034116
Lepidothrix-coronata	10	2.54209801
Margarornis-squamiger	3	0.489670468
Mecocerculus-leucophrys	1	0.568900903
Melanerpes-formicivorus	4	0.943482672
Melozone-fusca	3	0.802093647
Microbates-cinereiventris	3	4.0653
Microcerculus-marginatus	7	3.962197177
Mionectes-oleagineus	7	1.471446234
Mionectes-striaticollis	2	0.826195973
Momotus-mexicanus	3	1.224827531
Myadestes-occidentalis	1	0.422007541
Myioborus-miniatus	4	2.415772925
Myiothlypis-coronata	8	2.870885835
Myiothlypis-fulvicauda	4	2.116906731
Myiothlypis-leucoblephara	1	0.83810041
Myiothlypis-luteoviridis	3	2.781005151
Myiothlypis-rivularis	3	2.463852696
