Split	Lumped	Jetz_Species	Burleigh_Species
Adelomyia-melanogenys	Adelomyia-melanogenys	Adelomyia_melanogenys	Apodiformes_Trochilidae_Adelomyia_melanogenys
Agelaius-phoeniceus	Agelaius-phoeniceus-tricolor	Agelaius_phoeniceus	Passeriformes-oscines_Icteridae_Agelaius_phoeniceus
Agelaius-tricolor	Agelaius-phoeniceus-tricolor	Agelaius_tricolor	Passeriformes-oscines_Icteridae_Agelaius_tricolor
Amazilia-tzacatl	Amazilia-tzacatl	Amazilia_tzacatl	Apodiformes_Trochilidae_Amazilia_tzacatl
Amazona-farinosa	Amazona-farinosa	Amazona_farinosa	Psittaciformes_Psittacidae_Amazona_farinosa
Amazona-aestiva	Amazona-ochrocephala-aestiva	Amazona_aestiva	Psittaciformes_Psittacidae_Amazona_aestiva
Amazona-ochrocephala	Amazona-ochrocephala-aestiva	Amazona_ochrocephala	Psittaciformes_Psittacidae_Amazona_ochrocephala
Anabacerthia-striaticollis	Anabacerthia-striaticollis	Anabacerthia_striaticollis	Passeriformes-suboscines_Furnariidae_Anabacerthia_striaticollis
Anas-fulvigula	Anas-fulvigula	Anas_fulvigula	Anseriformes_Anatidae_Anas_fulvigula
Anas-strepera	Anas-strepera	Anas_strepera	Anseriformes_Anatidae_Anas_strepera
Aphelocoma-californica	Aphelocoma-caerulescens-californica-insularis	Aphelocoma_californica	Passeriformes-oscines_Corvidae_Aphelocoma_californica
Aphelocoma-coerulescens	Aphelocoma-caerulescens-californica-insularis	Aphelocoma_coerulescens	Passeriformes-oscines_Corvidae_Aphelocoma_coerulescens
Aphelocoma-insularis	Aphelocoma-caerulescens-californica-insularis	Aphelocoma_insularis	Passeriformes-oscines_Corvidae_Aphelocoma_insularis
Aphelocoma-ultramarina	Aphelocoma-ultramarina-wollweberi	Aphelocoma_ultramarina	Passeriformes-oscines_Corvidae_Aphelocoma_ultramarina
Aphelocoma-wollweberi	Aphelocoma-ultramarina-wollweberi	Aphelocoma_ultramarina	Passeriformes-oscines_Corvidae_Aphelocoma_ultramarina
Aphelocoma-unicolor	Aphelocoma-unicolor	Aphelocoma_unicolor	Passeriformes-oscines_Corvidae_Aphelocoma_unicolor
Aratinga-auricapillus	Aratinga-solstitialis-jandaya-auricapillus	Aratinga_auricapillus	NA
Aratinga-jandaya	Aratinga-solstitialis-jandaya-auricapillus	Aratinga_jandaya	Psittaciformes_Psittacidae_Aratinga_jandaya
Aratinga-solstitialis	Aratinga-solstitialis-jandaya-auricapillus	Aratinga_solstitialis	Psittaciformes_Psittacidae_Aratinga_solstitialis
Arremon-brunneinucha	Arremon-brunneinucha	Arremon_brunneinucha	Passeriformes-oscines_Emberizidae_Arremon_brunneinucha
Arremon-assimilis	Arremon-torquatus-assimilis-atricapillus-basilicus-costaricensis-perijanus-phaeopleurus-phygas	Arremon_torquatus	Passeriformes-oscines_Emberizidae_Arremon_torquatus
Arremon-atricapillus	Arremon-torquatus-assimilis-atricapillus-basilicus-costaricensis-perijanus-phaeopleurus-phygas	Arremon_torquatus	Passeriformes-oscines_Emberizidae_Arremon_torquatus
Arremon-basilicus	Arremon-torquatus-assimilis-atricapillus-basilicus-costaricensis-perijanus-phaeopleurus-phygas	Arremon_torquatus	Passeriformes-oscines_Emberizidae_Arremon_torquatus
Arremon-costaricensis	Arremon-torquatus-assimilis-atricapillus-basilicus-costaricensis-perijanus-phaeopleurus-phygas	Arremon_torquatus	Passeriformes-oscines_Emberizidae_Arremon_torquatus
Arremon-perijanus	Arremon-torquatus-assimilis-atricapillus-basilicus-costaricensis-perijanus-phaeopleurus-phygas	Arremon_torquatus	Passeriformes-oscines_Emberizidae_Arremon_torquatus
Arremon-phaeopleurus	Arremon-torquatus-assimilis-atricapillus-basilicus-costaricensis-perijanus-phaeopleurus-phygas	Arremon_torquatus	Passeriformes-oscines_Emberizidae_Arremon_torquatus
Arremon-phygas	Arremon-torquatus-assimilis-atricapillus-basilicus-costaricensis-perijanus-phaeopleurus-phygas	Arremon_torquatus	Passeriformes-oscines_Emberizidae_Arremon_torquatus
Arremon-torquatus	Arremon-torquatus-assimilis-atricapillus-basilicus-costaricensis-perijanus-phaeopleurus-phygas	Arremon_torquatus	Passeriformes-oscines_Emberizidae_Arremon_torquatus
Artemisiospiza-belli	Artemisiospiza-belli-nevadensis	Amphispiza_belli	Passeriformes-oscines_Emberizidae_Amphispiza_belli
Artemisiospiza-nevadensis	Artemisiospiza-belli-nevadensis	Amphispiza_belli	Passeriformes-oscines_Emberizidae_Amphispiza_belli
Attila-spadiceus	Attila-spadiceus	Attila_spadiceus	Passeriformes-suboscines_Tyrannidae_Attila_spadiceus
Aulacorhynchus-prasinus	Aulacorhynchus-prasinus	Aulacorhynchus_prasinus	Piciformes_Ramphastidae_Aulacorhynchus_prasinus
Automolus-ochrolaemus	Automolus-ochrolaemus	Automolus_ochrolaemus	Passeriformes-suboscines_Furnariidae_Automolus_ochrolaemus
Basileuterus-belli	Basileuterus-belli	Basileuterus_belli	Passeriformes-oscines_Parulidae_Basileuterus_belli
Basileuterus-culicivorus	Basileuterus-culicivorus	Basileuterus_culicivorus	Passeriformes-oscines_Parulidae_Basileuterus_culicivorus
Basileuterus-trifasciatus	Basileuterus-tristriatus-trifasciatus	Basileuterus_tristriatus	Passeriformes-oscines_Parulidae_Basileuterus_tristriatus
Basileuterus-tristriatus	Basileuterus-tristriatus-trifasciatus	Basileuterus_trifasciatus	Passeriformes-oscines_Parulidae_Basileuterus_trifasciatus
Calidris-ptilocnemis	Calidris-ptilocnemis	Calidris_ptilocnemis	Charadriiformes_Scolopacidae_Calidris_ptilocnemis
Campylorhynchus-brunneicapillus	Campylorhynchus-brunneicapillus	Campylorhynchus_brunneicapillus	Passeriformes-oscines_Troglodytidae_Campylorhynchus_brunneicapillus
Campylorhynchus-rufinucha	Campylorhynchus-rufinucha	Campylorhynchus_rufinucha	Passeriformes-oscines_Troglodytidae_Campylorhynchus_rufinucha
Cantorchilus-nigricapillus	Cantorchilus-nigricapillus	Thryothorus_nigricapillus	Passeriformes-oscines_Troglodytidae_Cantorchilus_nigricapillus
Capito-wallacei	Capito-wallacei	Capito_wallacei	Piciformes_Capitonidae_Capito_wallacei
Cardellina-pusilla	Cardellina-pusilla	Wilsonia_pusilla	Passeriformes-oscines_Parulidae_Cardellina_pusilla
Cardellina-rubra	Cardellina-rubra-versicolor	Ergaticus_ruber	Passeriformes-oscines_Parulidae_Cardellina_rubra
Cardellina-versicolor	Cardellina-rubra-versicolor	Ergaticus_versicolor	Passeriformes-oscines_Parulidae_Cardellina_versicolor
Cardinalis-cardinalis	Cardinalis-cardinalis	Cardinalis_cardinalis	Passeriformes-oscines_Cardinalidae_Cardinalis_cardinalis
Catharus-fuscater	Catharus-fuscater	Catharus_fuscater	Passeriformes-oscines_Turdidae_Catharus_fuscater
Catharus-occidentalis	Catharus-occidentalis	Catharus_occidentalis	Passeriformes-oscines_Turdidae_Catharus_occidentalis
Ceratopipra-chloromeros	Ceratopipra-chloromeros-mentalis-erythrocephala-rubrocapilla	Pipra_chloromeros	NA
Ceratopipra-erythrocephala	Ceratopipra-chloromeros-mentalis-erythrocephala-rubrocapilla	Pipra_erythrocephala	Passeriformes-suboscines_Pipridae_Pipra_erythrocephala
